,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
382,Bungou Stray Dogs,TV (12 eps),Apr 2016 - Jun 2016,"1,252,952 ","Action, Mystery, Supernatural",Thursdays at 01:05 (JST),"Funimation, Crunchyroll","24,130",91,7.821,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs,"632,428"
383,Eikoku Koi Monogatari Emma: Molders-hen,TV (12 eps),Apr 2007 - Jul 2007,"25,587 ","Drama, Romance",Unknown,Nozomi Entertainment,100,3999,7.821,https://myanimelist.net/anime/2035/Eikoku_Koi_Monogatari_Emma__Molders-hen,"11,925"
384,Hidamari Sketch x 365,TV (13 eps),Jul 2008 - Sep 2008,"30,681 ","Comedy, Slice of Life",Fridays at 01:25 (JST),Sentai Filmworks,177,3668,7.821,https://myanimelist.net/anime/3604/Hidamari_Sketch_x_365,"15,223"
385,Igano Kabamaru,TV (24 eps),Oct 1983 - Mar 1984,"10,477 ","Action, Adventure, Comedy, Romance",Thursdays at 19:00 (JST),"None found, add some",126,5784,7.821,https://myanimelist.net/anime/2762/Igano_Kabamaru,"3,966"
386,Jungle wa Itsumo Hare nochi Guu,TV (26 eps),Apr 2001 - Sep 2001,"32,870 ","Comedy, Slice of Life",Tuesdays at 18:00 (JST),"Funimation, AN Entertainment",392,3528,7.821,https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu,"13,904"
387,Little Witch Academia (TV),TV (25 eps),Jan 2017 - Jun 2017,"604,700 ","Adventure, Comedy, Fantasy",Mondays at 00:00 (JST),"None found, add some","7,164",316,7.821,https://myanimelist.net/anime/33489/Little_Witch_Academia_TV,"296,858"
388,Mahoujin Guruguru (2017),TV (24 eps),Jul 2017 - Dec 2017,"31,671 ","Adventure, Comedy, Fantasy",Wednesdays at 01:35 (JST),"None found, add some",241,3597,7.821,https://myanimelist.net/anime/34745/Mahoujin_Guruguru_2017,"9,928"
389,Somali to Mori no Kamisama,TV (12 eps),Jan 2020 - Mar 2020,"270,822 ","Adventure, Drama, Fantasy",Fridays at 00:30 (JST),"None found, add some","1,560",800,7.821,https://myanimelist.net/anime/39575/Somali_to_Mori_no_Kamisama,"109,856"
390,Slayers Try,TV (26 eps),Apr 1997 - Sep 1997,"52,860 ","Adventure, Comedy, Fantasy",Fridays at 18:30 (JST),"Funimation, Central Park Media",219,2745,7.811,https://myanimelist.net/anime/1172/Slayers_Try,"28,794"
391,Berserk: Ougon Jidai-hen - Memorial Edition,TV (13 eps),Oct 2022 - Dec 2022,"27,255 ","Action, Adventure, Drama, Fantasy, Horror",Sundays at 00:30 (JST),"None found, add some",175,3884,7.811,https://myanimelist.net/anime/52976/Berserk__Ougon_Jidai-hen_-_Memorial_Edition,"9,957"
