,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
1636,Muka Muka Paradise,TV (51 eps),Sep 1993 - Aug 1994,"2,632 ","Adventure, Fantasy, Mystery, Sci-Fi",Thursdays at Unknown,"Funimation, Bandai Entertainment","1,320",1206,6.951,https://myanimelist.net/anime/4086/Muka_Muka_Paradise,"82,275"
1637,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,Movie (1 eps),Jul 2004 - Jul 2004,"109,247 ","Comedy, Ecchi",Wednesdays at 01:00 (JST),"None found, add some",568,1457,6.951,https://myanimelist.net/anime/1122/Pokemon_Movie_07__Rekkuu_no_Houmonsha_Deoxys,"72,649"
1638,Release the Spyce,TV (12 eps),Oct 2018 - Dec 2018,"69,262 ","Comedy, Sports",Mondays at 21:54 (JST),"None found, add some",71,4796,6.951,https://myanimelist.net/anime/37221/Release_the_Spyce,"6,207"
1639,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",TV (13 eps),Oct 2021 - Dec 2021,"267,284 ","Comedy, Drama, Romance, Supernatural",Sundays at 00:30 (JST),"None found, add some",34,3526,6.951,https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,"15,433"
1640,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",TV (12 eps),Apr 2021 - Jun 2021,"333,508 ","Adventure, Comedy, Drama, Fantasy",Sundays at 09:00 (JST),Flatiron Film Company,308,2092,6.951,https://myanimelist.net/anime/40586/Slime_Taoshite_300-nen_Shiranai_Uchi_ni_Level_Max_ni_Nattemashita,"49,591"
1641,Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,Movie (1 eps),May 2011 - May 2011,"9,105 ","Adventure, Comedy, Fantasy",Sundays at 01:35 (JST),Media Blasters,4,10275,6.951,https://myanimelist.net/anime/7014/Tezuka_Osamu_no_Buddha__Akai_Sabaku_yo_Utsukushiku,558
1642,Tsugumomo OVA,OVA (1 eps),Jan 2020 - Jan 2020,"22,508 ","Action, Adventure, Comedy, Sci-Fi, Sports",Mondays at 18:00 (JST),"Nelvana, Discotek Media",207,2949,6.941,https://myanimelist.net/anime/39470/Tsugumomo_OVA,"28,828"
1643,Yinhun x KFC,ONA (1 eps),May 2018 - May 2018,"6,658 ","Adventure, Fantasy, Supernatural",Thursdays at 18:30 (JST),Illumitoon Entertainment,14,5035,6.941,https://myanimelist.net/anime/37864/Yinhun_x_KFC,"6,348"
1644,Zi Chuan,ONA (42 eps),Dec 2021 - Sep 2022,"1,642 ","Comedy, Fantasy, Romance, Ecchi",Unknown,Sentai Filmworks,"1,262",550,6.941,https://myanimelist.net/anime/44389/Zi_Chuan,"204,119"
1645,A-Channel,TV (12 eps),Apr 2011 - Jun 2011,"97,184 ","Action, Fantasy",Thursdays at 23:00 (JST),"ADV Films, Funimation","1,564",725,6.941,https://myanimelist.net/anime/9776/A-Channel,"163,839"
1646,Batman: Gotham Knight,OVA (6 eps),Jul 2008 - Jul 2008,"28,530 ","Boys Love, Comedy",Wednesdays at 18:30 (JST),Nozomi Entertainment,"1,100",1683,6.941,https://myanimelist.net/anime/4094/Batman__Gotham_Knight,"63,180"
1647,Doraemon Movie 08: Nobita to Ryuu no Kishi,Movie (1 eps),Mar 1987 - Mar 1987,"4,783 ","Action, Adventure, Sci-Fi",Sundays at 18:00 (JST),"ADV Films, Sentai Filmworks",58,5980,6.941,https://myanimelist.net/anime/2657/Doraemon_Movie_08__Nobita_to_Ryuu_no_Kishi,"3,347"
1648,Guilty Crown: 4-koma Gekijou,Special (11 eps),Jan 2012 - Nov 2012,"25,761 ","Action, Comedy, Sci-Fi, Sports",Unknown,Discotek Media,11,6706,6.941,https://myanimelist.net/anime/13561/Guilty_Crown__4-koma_Gekijou,"3,579"
1649,Hoshi wo Katta Hi,Movie (1 eps),Jan 2006 - Jan 2006,"7,544 ","Adventure, Fantasy",Unknown,Funimation,108,2799,6.941,https://myanimelist.net/anime/6463/Hoshi_wo_Katta_Hi,"23,450"
1650,KimiKiss Pure Rouge: Love Fighter,Special (1 eps),Aug 2008 - Aug 2008,"12,131 ","Adventure, Fantasy",Wednesdays at 23:30 (JST),"None found, add some",776,1469,6.941,https://myanimelist.net/anime/4205/KimiKiss_Pure_Rouge__Love_Fighter,"66,677"
1651,Made in Abyss: Retsujitsu no Ougonkyou - Papa to Issho,Special (1 eps),Oct 2022 - Oct 2022,"9,369 ","Comedy, Fantasy, Romance, Supernatural, Ecchi",Thursdays at 01:00 (JST),"Funimation, Sentai Filmworks",487,1481,6.941,https://myanimelist.net/anime/52149/Made_in_Abyss__Retsujitsu_no_Ougonkyou_-_Papa_to_Issho,"62,813"
1652,Mai-Otome Specials,Special (9 eps),Jan 2006 - Sep 2006,"6,077 ","Adventure, Comedy, Sports",Unknown,Nelvana,158,2873,6.941,https://myanimelist.net/anime/1659/Mai-Otome_Specials,"31,664"
1653,Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de,OVA (1 eps),Dec 1988 - Dec 1988,"3,356 ","Adventure, Drama, Fantasy, Sci-Fi",Saturdays at 18:28 (JST),Saban Entertainment,77,4970,6.941,https://myanimelist.net/anime/3483/Maison_Ikkoku__Shiki_Utsuriyuku_Kisetsu_no_Naka_de,"7,762"
1654,Obey Me! Season 2,ONA (12 eps),Jul 2022 - Dec 2022,"8,811 ","Comedy, Romance",Sundays at 00:00 (JST),Aniplex of America,"1,778",370,6.941,https://myanimelist.net/anime/52045/Obey_Me_Season_2,"276,684"
1655,Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,OVA (1 eps),Jun 2013 - Jun 2013,"17,032 ","Adventure, Sports",Unknown,"None found, add some",14,8079,6.941,https://myanimelist.net/anime/15807/Ro-Kyu-Bu__Tomoka_no_Ichigo_Sundae,"1,946"
1656,Tantei Opera Milky Holmes: Summer Special,Special (1 eps),Aug 2011 - Aug 2011,"7,038 ","Comedy, Fantasy, Romance, Supernatural, Ecchi",Unknown,"None found, add some",107,3107,6.931,https://myanimelist.net/anime/10923/Tantei_Opera_Milky_Holmes__Summer_Special,"18,362"
1657,Lupin III: Lupin Ansatsu Shirei,Special (1 eps),Jul 1993 - Jul 1993,"7,532 ","Adventure, Drama, Slice of Life",Unknown,"None found, add some",17,8687,6.931,https://myanimelist.net/anime/1438/Lupin_III__Lupin_Ansatsu_Shirei,"1,156"
1658,Macademi Wasshoi!,TV (12 eps),Oct 2008 - Dec 2008,"42,188 ","Comedy, Fantasy, Slice of Life",Sundays at 01:15 (JST),"None found, add some",52,3182,6.931,https://myanimelist.net/anime/3654/Macademi_Wasshoi,"17,571"
1659,Macross 7 Encore,OVA (3 eps),Dec 1995 - Feb 1996,"8,970 ","Comedy, Romance",Unknown,Aniplex of America,"1,201",481,6.931,https://myanimelist.net/anime/1399/Macross_7_Encore,"255,366"
1660,Makiba no Shoujo Katri,TV (49 eps),Jan 1984 - Dec 1984,"3,680 ","Adventure, Drama, Fantasy",Unknown,Media Blasters,44,4771,6.931,https://myanimelist.net/anime/3162/Makiba_no_Shoujo_Katri,"4,259"
1661,Namiuchigiwa no Muromi-san,TV (13 eps),Apr 2013 - Jun 2013,"40,429 ","Comedy, Fantasy, Romance",Sundays at 09:30 (JST),Nozomi Entertainment,83,4207,6.931,https://myanimelist.net/anime/16910/Namiuchigiwa_no_Muromi-san,"10,352"
1662,Shoujo☆Kageki Revue Starlight Specials,Special (3 eps),Oct 2018 - Feb 2019,"7,611 ","Action, Drama, Sports",Sundays at 02:30 (JST),"None found, add some",66,4365,6.931,https://myanimelist.net/anime/38050/Shoujo%E2%98%86Kageki_Revue_Starlight_Specials,"7,848"
1663,UniteUp!,TV (12 eps),Jan 2023 -,"5,911 ","Action, Comedy, Fantasy, Sci-Fi",Unknown,Funimation,"1,197",1391,6.931,https://myanimelist.net/anime/53132/UniteUp,"59,695"
1664,Wan Jie Du Zun,ONA (50 eps),Apr 2021 - Sep 2021,"2,498 ","Adventure, Comedy, Sci-Fi",Fridays at 18:00 (JST),VIZ Media,67,4974,6.931,https://myanimelist.net/anime/48684/Wan_Jie_Du_Zun,"6,416"
1665,Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,Special (1 eps),Sep 2008 - Nov 2008,"10,069 ","Adventure, Comedy, Fantasy, Romance",Fridays at 18:30 (JST),"Nozomi Entertainment, Geneon Entertainment USA",33,4774,6.931,https://myanimelist.net/anime/5298/Yu%E2%98%86Gi%E2%98%86Oh_5Ds__Shinkasuru_Kettou_Stardust_vs_Red_Demons,"6,970"
1666,Yuusha Shirei Dagwon,TV (48 eps),Feb 1996 - Jan 1997,"2,208 ","Adventure, Fantasy, Sci-Fi",Fridays at 00:45 (JST),Funimation,204,2132,6.931,https://myanimelist.net/anime/3505/Yuusha_Shirei_Dagwon,"34,518"
1667,Corrector Yui,TV (52 eps),Apr 1999 - Oct 2000,"15,326 ","Comedy, Romance",Sundays at 02:00 (JST),"Crunchyroll, Muse Communication","4,272",446,6.931,https://myanimelist.net/anime/111/Corrector_Yui,"173,372"
1668,Dai Mahou Touge,OVA (4 eps),Mar 2006 - Mar 2007,"31,364 ","Sports, Ecchi",Thursdays at 23:30 (JST),Funimation,"1,390",535,6.931,https://myanimelist.net/anime/933/Dai_Mahou_Touge,"185,983"
1669,Detective Conan: The Fugitive Kogorou Mouri,ONA (1 eps),Apr 2014 - Apr 2014,"6,821 ","Action, Fantasy, Sci-Fi",Tuesdays at 00:00 (JST),Sentai Filmworks,376,1091,6.931,https://myanimelist.net/anime/24169/Detective_Conan__The_Fugitive_Kogorou_Mouri,"78,737"
1670,Fractale,TV (11 eps),Jan 2011 - Apr 2011,"81,028 ","Adventure, Fantasy",Unknown,"None found, add some",8,12578,6.931,https://myanimelist.net/anime/9314/Fractale,356
1671,Haru Dorobou,Music (1 eps),Jan 2021 - Jan 2021,705 ,"Comedy, Fantasy, Slice of Life",Sundays at 02:05 (JST),Sentai Filmworks,11,7804,6.931,https://myanimelist.net/anime/48945/Haru_Dorobou,"1,701"
1672,"Iriya no Sora, UFO no Natsu",OVA (6 eps),Feb 2005 - Jun 2005,"25,132 ","Action, Adventure",Saturdays at 17:00 (JST),"None found, add some",3,10135,6.931,https://myanimelist.net/anime/358/Iriya_no_Sora_UFO_no_Natsu,526
1673,Keijo!!!!!!!!,TV (12 eps),Oct 2016 - Dec 2016,"381,311 ","Action, Adventure, Comedy, Sci-Fi",Unknown,ADV Films,34,5530,6.931,https://myanimelist.net/anime/32686/Keijo,"3,993"
1674,Blade Runner: Black Out 2022,ONA (1 eps),Sep 2017 - Sep 2017,"34,474 ","Action, Comedy, Romance",Tuesdays at 19:00 (JST),"None found, add some",13,9452,6.921,https://myanimelist.net/anime/36308/Blade_Runner__Black_Out_2022,750
1675,Hi no Tori: Houou-hen,Movie (1 eps),Dec 1986 - Dec 1986,"3,541 ","Action, Horror, Mystery",Thursdays at 01:45 (JST),"Central Park Media, Discotek Media",92,4499,6.921,https://myanimelist.net/anime/2997/Hi_no_Tori__Houou-hen,"7,037"
1676,Kinnikuman: Kinnikusei Oui Soudatsu-hen,TV (46 eps),Oct 1991 - Sep 1992,"3,297 ","Comedy, Sci-Fi, Supernatural, Ecchi",Fridays at 00:55 (JST),Sentai Filmworks,625,951,6.921,https://myanimelist.net/anime/3281/Kinnikuman__Kinnikusei_Oui_Soudatsu-hen,"91,754"
1677,Massara,ONA (1 eps),Nov 2021 - Nov 2021,"1,986 ","Action, Sci-Fi",Sundays at 00:00 (JST),Aniplex of America,727,713,6.921,https://myanimelist.net/anime/50597/Massara,"186,241"
1678,Night Walker: Mayonaka no Tantei,TV (12 eps),Jul 1998 - Sep 1998,"19,712 ","Adventure, Fantasy",Fridays at 19:30 (JST),"None found, add some",9,10475,6.911,https://myanimelist.net/anime/621/Night_Walker__Mayonaka_no_Tantei,758
1679,Sakura Taisen: Gouka Kenran,OVA (6 eps),Dec 1999 - Dec 2000,"4,571 ","Action, Adventure, Comedy, Fantasy",Mondays at 18:30 (JST),"None found, add some",4,11847,6.921,https://myanimelist.net/anime/1166/Sakura_Taisen__Gouka_Kenran,360
1680,Sekiranun Graffiti,Music (1 eps),Aug 2011 - Aug 2011,"6,699 ","Adventure, Sci-Fi",Fridays at 18:00 (JST),Frontier Works,19,9771,6.921,https://myanimelist.net/anime/11487/Sekiranun_Graffiti,959
1681,Sola Specials,Special (2 eps),Sep 2007 - Oct 2007,"15,125 ","Fantasy, Slice of Life",Sundays at 01:00 (JST),Funimation,184,2294,6.921,https://myanimelist.net/anime/3174/Sola_Specials,"25,294"
1682,Vexille: 2077 Nihon Sakoku,Movie (1 eps),Aug 2007 - Aug 2007,"18,567 ","Action, Comedy, Fantasy, Sci-Fi",Unknown,Geneon Entertainment USA,55,4325,6.921,https://myanimelist.net/anime/2746/Vexille__2077_Nihon_Sakoku,"9,125"
1683,Zero no Tsukaima: Princesses no Rondo Picture Drama,Special (7 eps),Sep 2008 - Mar 2009,"48,004 ","Adventure, Comedy, Mystery",Mondays at 19:00 (JST),"None found, add some",111,5185,6.921,https://myanimelist.net/anime/6489/Zero_no_Tsukaima__Princesses_no_Rondo_Picture_Drama,"5,170"
1684,Aoi Blink,TV (39 eps),Apr 1989 - Mar 1990,"1,975 ","Comedy, Sci-Fi, Ecchi",Unknown,Maiden Japan,105,3492,6.911,https://myanimelist.net/anime/3631/Aoi_Blink,"15,529"
1685,Arifureta Shokugyou de Sekai Saikyou 2nd Season: Arifureta Yorimichi de Sekai Saikyou,Special (1 eps),Mar 2022 - Mar 2022,"35,481 ","Action, Adventure, Comedy, Sci-Fi",Wednesdays at 18:30 (JST),"None found, add some",46,8323,6.921,https://myanimelist.net/anime/50916/Arifureta_Shokugyou_de_Sekai_Saikyou_2nd_Season__Arifureta_Yorimichi_de_Sekai_Saikyou,"1,412"
1686,Battle Athletess Daiundoukai (TV),TV (26 eps),Oct 1997 - Mar 1998,"9,092 ","Adventure, Comedy",Unknown,"None found, add some",3,13688,6.911,https://myanimelist.net/anime/1186/Battle_Athletess_Daiundoukai_TV,187
1687,Bug tte Honey,TV (51 eps),Oct 1986 - Sep 1987,650 ,"Comedy, Slice of Life",Unknown,ADV Films,61,4550,6.911,https://myanimelist.net/anime/10210/Bug_tte_Honey,"6,603"
1688,Dragon Quest: Yuusha Abel Densetsu,TV (43 eps),Dec 1989 - Apr 1991,"6,116 ","Action, Fantasy",Sundays at 08:30 (JST),"None found, add some",75,5845,6.911,https://myanimelist.net/anime/2819/Dragon_Quest__Yuusha_Abel_Densetsu,"2,988"
1689,Grisaia no Kajitsu Specials,Special (6 eps),Dec 2014 - May 2015,"77,692 ","Action, Comedy, Sports",Unknown,"None found, add some",16,8988,6.921,https://myanimelist.net/anime/29101/Grisaia_no_Kajitsu_Specials,"1,088"
1690,Healin' Good♡Precure,TV (45 eps),Feb 2020 - Feb 2021,"10,195 ","Action, Supernatural",Fridays at Unknown,Sentai Filmworks,283,1501,6.911,https://myanimelist.net/anime/40610/Healin_Good%E2%99%A1Precure,"61,597"
1691,Hellsing: Psalm of the Darkness,Special (1 eps),Aug 2001 - Aug 2001,"31,531 ","Drama, Fantasy, Romance",Unknown,"None found, add some",26,5750,6.911,https://myanimelist.net/anime/7728/Hellsing__Psalm_of_the_Darkness,"3,237"
1692,Karaoke Senshi Mike-tarou,TV (20 eps),Apr 1994 - Mar 1995,518 ,"Adventure, Comedy, Drama",Unknown,"None found, add some",2,11124,6.911,https://myanimelist.net/anime/5140/Karaoke_Senshi_Mike-tarou,692
1693,Koisuru Tenshi Angelique: Kagayaki no Ashita,TV (12 eps),Jan 2007 - Mar 2007,"10,609 ","Action, Sci-Fi",Unknown,Funimation,86,3128,6.911,https://myanimelist.net/anime/1864/Koisuru_Tenshi_Angelique__Kagayaki_no_Ashita,"18,456"
1694,Konchuu Monogatari Minashigo Hutch (1989),TV (55 eps),Jul 1989 - Aug 1990,"1,535 ","Mystery, Romance, Supernatural",Sundays at 01:30 (JST),VIZ Media,"1,210",479,6.911,https://myanimelist.net/anime/8140/Konchuu_Monogatari_Minashigo_Hutch_1989,"184,520"
1695,Ling Jian Zun,ONA (30 eps),Jan 2019 - Apr 2019,"4,326 ","Drama, Fantasy",Sundays at 01:30 (JST),"None found, add some",171,3007,6.911,https://myanimelist.net/anime/39080/Ling_Jian_Zun,"20,826"
1696,Re-raise,Music (1 eps),Jan 2020 - Jan 2020,"1,641 ","Action, Adventure, Comedy, Sci-Fi",Mondays at 18:30 (JST),VIZ Media,131,3326,6.911,https://myanimelist.net/anime/41099/Re-raise,"18,891"
1697,Rockman.EXE,TV (56 eps),Mar 2002 - Mar 2003,"37,156 ","Comedy, Fantasy, Romance, Ecchi",Thursdays at 02:25 (JST),Funimation,"1,093",505,6.911,https://myanimelist.net/anime/1710/RockmanEXE,"247,417"
1698,Servamp Specials,Special (4 eps),Nov 2016 - Feb 2017,"18,170 ","Comedy, Romance, Sci-Fi, Ecchi",Unknown,"ADV Films, Sentai Filmworks",9,6428,6.911,https://myanimelist.net/anime/33994/Servamp_Specials,"3,215"
1699,Shinmai Maou no Testament Departures,OVA (1 eps),Mar 2018 - Mar 2018,"88,117 ","Comedy, Mystery",Unknown,"None found, add some",211,3047,6.911,https://myanimelist.net/anime/36688/Shinmai_Maou_no_Testament_Departures,"16,480"
1700,Tantei Opera Milky Holmes,TV (12 eps),Oct 2010 - Dec 2010,"43,525 ","Comedy, Fantasy, Romance",Wednesdays at 18:00 (JST),Synch-Point,49,6732,6.911,https://myanimelist.net/anime/7768/Tantei_Opera_Milky_Holmes,"2,181"
1701,Toaru Majutsu no Index-tan,Special (2 eps),Feb 2009 - May 2009,"52,164 ","Action, Romance",Thursdays at 00:00 (JST),"None found, add some",892,1401,6.901,https://myanimelist.net/anime/5955/Toaru_Majutsu_no_Index-tan,"51,353"
1702,Miyori no Mori,Special (1 eps),Aug 2007 - Aug 2007,"12,475 ","Mystery, Supernatural",Tuesdays at 19:00 (JST),Funimation,41,4082,6.901,https://myanimelist.net/anime/2751/Miyori_no_Mori,"6,277"
1703,Ninin ga Shinobuden,TV (12 eps),Jul 2004 - Sep 2004,"33,743 ","Action, Adventure",Sundays at 18:30 (JST),"None found, add some",9,10441,6.901,https://myanimelist.net/anime/229/Ninin_ga_Shinobuden,373
1704,Ninja Hattori-kun,TV (694 eps),Sep 1981 - Dec 1987,"10,315 ","Mystery, Sci-Fi",Sundays at 00:00 (JST),Aniplex of America,449,1131,6.901,https://myanimelist.net/anime/4936/Ninja_Hattori-kun,"68,007"
1705,Occultic;Nine,TV (12 eps),Oct 2016 - Dec 2016,"188,229 ","Action, Comedy, Sci-Fi",Sundays at 22:00 (JST),VIZ Media,140,2362,6.901,https://myanimelist.net/anime/32962/Occultic_Nine,"23,292"
1706,Ooyukiumi no Kaina,TV (11 eps),Jan 2023 -,"34,322 ","Adventure, Comedy, Supernatural",Tuesdays at 01:55 (JST),"Media Blasters, NYAV Post",197,2697,6.901,https://myanimelist.net/anime/50864/Ooyukiumi_no_Kaina,"26,031"
1707,Rinne no Lagrange,TV (12 eps),Jan 2012 - Mar 2012,"69,261 ","Drama, Fantasy, Supernatural",Fridays at 00:30 (JST),Maiden Japan,88,2981,6.901,https://myanimelist.net/anime/11227/Rinne_no_Lagrange,"18,865"
1708,Tengen Toppa Gurren Lagann: Parallel Works 2,Music (7 eps),May 2010 - May 2010,"22,349 ","Action, Supernatural",Thursdays at 08:00 (JST),Maiden Japan,174,1889,6.901,https://myanimelist.net/anime/8348/Tengen_Toppa_Gurren_Lagann__Parallel_Works_2,"46,286"
1709,Wakaba*Girl: Onsen Tsukaritai,Special (1 eps),Oct 2015 - Oct 2015,"8,839 ","Adventure, Sci-Fi, Sports",Fridays at 18:30 (JST),"Discotek Media, Geneon Entertainment USA",33,6137,6.911,https://myanimelist.net/anime/31909/WakabaGirl__Onsen_Tsukaritai,"3,234"
1710,Buki yo Saraba,Movie (1 eps),Jul 2013 - Jul 2013,"11,991 ","Action, Adventure, Fantasy",Unknown,Saban Entertainment,17,7191,6.911,https://myanimelist.net/anime/17677/Buki_yo_Saraba,"1,513"
1711,Harmony,Movie (1 eps),Nov 2015 - Nov 2015,"57,560 ","Comedy, Fantasy",Saturdays at 07:00 (JST),"None found, add some",12,9460,6.901,https://myanimelist.net/anime/28211/Harmony,725
1712,Ibara no Ou,Movie (1 eps),Oct 2009 - Oct 2009,"72,023 ","Action, Comedy, Sci-Fi, Sports",Wednesdays at 18:00 (JST),"4Kids Entertainment, Discotek Media",56,4884,6.901,https://myanimelist.net/anime/6610/Ibara_no_Ou,"8,426"
1713,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",Special (1 eps),Jul 2017 - Jul 2017,"51,454 ","Comedy, Girls Love",Fridays at 23:00 (JST),"None found, add some",181,1713,6.891,https://myanimelist.net/anime/34777/91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita,"48,336"
1714,Amatsuki,TV (13 eps),Apr 2008 - Jun 2008,"56,588 ","Drama, Mystery, Romance, Supernatural",Unknown,VIZ Media,"7,227",335,6.891,https://myanimelist.net/anime/3359/Amatsuki,"341,130"
1715,Anima Yell!,TV (12 eps),Oct 2018 - Dec 2018,"41,424 ","Comedy, Slice of Life",Fridays at 23:17 (JST),Sentai Filmworks,66,3101,6.891,https://myanimelist.net/anime/37206/Anima_Yell,"18,396"
1716,Arete Hime,Movie (1 eps),Jul 2001 - Jul 2001,"12,592 ","Drama, Romance",Sundays at 01:30 (JST),"None found, add some","1,227",741,6.891,https://myanimelist.net/anime/1028/Arete_Hime,"133,902"
1717,Gensoumaden Saiyuuki: Kibou no Zaika,OVA (1 eps),Sep 2002 - Sep 2002,"4,567 ","Comedy, Supernatural",Saturdays at 17:30 (JST),Sentai Filmworks,135,2072,6.891,https://myanimelist.net/anime/4476/Gensoumaden_Saiyuuki__Kibou_no_Zaika,"31,791"
1718,Iblard Jikan,OVA (1 eps),Jul 2007 - Jul 2007,"21,731 ","Mystery, Slice of Life",Tuesdays at 01:20 (JST),"None found, add some",61,5592,6.891,https://myanimelist.net/anime/2891/Iblard_Jikan,"4,379"
1719,Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,OVA (1 eps),Dec 2011 - Dec 2011,"20,006 ","Action, Drama",Sundays at 00:55 (JST),"None found, add some",2,12739,6.891,https://myanimelist.net/anime/10934/Itsuka_Tenma_no_Kuro_Usagi__Kokoro_Utsuri_no_Toukoubi_-_School_Attendance_Day,215
1720,Kami nomi zo Shiru Sekai: Flag 0,OVA (1 eps),Sep 2010 - Sep 2010,"62,577 ","Comedy, Slice of Life",Unknown,"None found, add some",32,5825,6.901,https://myanimelist.net/anime/9675/Kami_nomi_zo_Shiru_Sekai__Flag_0,"6,532"
1721,Kyoukai no Kanata: Mini Gekijou,Special (7 eps),Jan 2014 - Jul 2014,"41,578 ","Action, Supernatural",Tuesdays at 23:00 (JST),Funimation,"1,277",804,6.891,https://myanimelist.net/anime/20909/Kyoukai_no_Kanata__Mini_Gekijou,"110,957"
1722,Kyoukai no Rinne,TV (25 eps),Apr 2015 - Sep 2015,"85,778 ","Adventure, Comedy, Supernatural",Thursdays at 17:55 (JST),"None found, add some","1,611",895,6.891,https://myanimelist.net/anime/28423/Kyoukai_no_Rinne,"62,366"
1723,Lupin III: Hemingway Paper no Nazo,Special (1 eps),Jul 1990 - Jul 1990,"6,489 ","Drama, Romance, Sports",Unknown,"None found, add some",5,9593,6.891,https://myanimelist.net/anime/1421/Lupin_III__Hemingway_Paper_no_Nazo,523
1724,Petit Seka,ONA (10 eps),Jan 2022 - Mar 2022,"3,333 ","Comedy, Supernatural",Mondays at 19:00 (JST),Geneon Entertainment USA,27,4301,6.891,https://myanimelist.net/anime/49939/Petit_Seka,"9,822"
1725,Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,OVA (1 eps),Nov 2011 - Nov 2011,"2,480 ","Action, Fantasy, Supernatural",Saturdays at 02:30 (JST),"None found, add some",124,2654,6.891,https://myanimelist.net/anime/11569/Precure_All_Stars_DX_the_Dance_Live%E2%99%A5__Miracle_Dance_Stage_e_Youkoso,"25,785"
1726,Promare: Galo-hen,ONA (1 eps),May 2019 - May 2019,"25,959 ","Comedy, Sports",Sundays at 23:30 (JST),"None found, add some",83,3138,6.891,https://myanimelist.net/anime/39991/Promare__Galo-hen,"15,856"
1727,Servamp,TV (12 eps),Jul 2016 - Sep 2016,"269,192 ","Drama, Sports",Sundays at 19:00 (JST),"None found, add some",44,6228,6.891,https://myanimelist.net/anime/31229/Servamp,"3,490"
1728,Shaman King (2021),TV (52 eps),Apr 2021 - Apr 2022,"241,756 ","Action, Sci-Fi",Unknown,Funimation,214,2133,6.891,https://myanimelist.net/anime/42205/Shaman_King_2021,"29,096"
1729,Shin Ace wo Nerae!,TV (25 eps),Oct 1978 - Mar 1979,"2,647 ","Action, Comedy, Ecchi",Wednesdays at 23:00 (JST),Sentai Filmworks,929,581,6.891,https://myanimelist.net/anime/8542/Shin_Ace_wo_Nerae,"193,527"
1730,Yesterday wo Utatte,TV (12 eps),Apr 2020 - Jun 2020,"289,796 ","Comedy, Drama, Mystery",Saturdays at 01:55 (JST),Funimation,188,2150,6.891,https://myanimelist.net/anime/39710/Yesterday_wo_Utatte,"23,945"
1731,Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara,Special (1 eps),Mar 2020 - Mar 2020,"6,248 ","Action, Adventure, Fantasy",Unknown,"None found, add some",75,2307,6.881,https://myanimelist.net/anime/40465/Chuubyou_Gekihatsu_Boy__Otoko_ni_Umareta_Shukumei_Dakara,"32,606"
1732,Dinghai Fusheng Lu,ONA (12 eps),Jul 2021 - Dec 2021,"2,615 ","Comedy, Slice of Life",Fridays at 02:16 (JST),Sentai Filmworks,74,3019,6.881,https://myanimelist.net/anime/44065/Dinghai_Fusheng_Lu,"16,730"
1733,Dominion,OVA (4 eps),May 1988 - Aug 1989,"16,456 ","Comedy, Fantasy",Unknown,"None found, add some",24,9728,6.871,https://myanimelist.net/anime/1151/Dominion,"1,280"
1734,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,OVA (1 eps),Apr 2021 - Apr 2021,"67,151 ","Action, Adventure, Comedy, Drama, Sci-Fi",Tuesdays at 02:55 (JST),ADV Films,29,6081,6.881,https://myanimelist.net/anime/44983/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III_OVA,"3,425"
1735,Fei Ren Zai 1st Season Part 2,ONA (12 eps),Jan 2020 - Mar 2020,908 ,"Action, Adventure, Comedy, Fantasy",Saturdays at 19:30 (JST),4Kids Entertainment,297,3655,6.881,https://myanimelist.net/anime/42454/Fei_Ren_Zai_1st_Season_Part_2,"15,652"
1736,Jintian Kaishi Zuo Mingxing,ONA (13 eps),Dec 2019 - Mar 2020,"2,279 ","Adventure, Comedy",Unknown,"None found, add some",23,6939,6.881,https://myanimelist.net/anime/40969/Jintian_Kaishi_Zuo_Mingxing,"3,848"
1737,Key the Metal Idol,OVA (15 eps),Dec 1994 - Jun 1997,"21,637 ","Drama, Slice of Life",Unknown,"None found, add some",8,9452,6.881,https://myanimelist.net/anime/1457/Key_the_Metal_Idol,802
