anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by,anime_season_aired,anime_year_aired
Shokugeki no Souma: Gou no Sara,TV (13 eps),Apr 2020 - Sep 2020,484339,"Gourmet, Ecchi",Saturdays at 00:30 (JST),Sentai Filmworks,1261,406,7.321,https://myanimelist.net/anime/40902/Shokugeki_no_Souma__Gou_no_Sara,241479,spring,2020 
Tamayura: Hitotose,TV (12 eps),Oct 2011 - Dec 2011,45283,"Comedy, Drama, Slice of Life",Mondays at 09:00 (JST),Nozomi Entertainment,163,2982,7.321,https://myanimelist.net/anime/10232/Tamayura__Hitotose,13012,fall,2011 
Tiger Mask Nisei,TV (33 eps),Apr 1981 - Jan 1982,6043,"Action, Drama, Sports",Mondays at 19:00 (JST),"None found, add some",20,7221,7.321,https://myanimelist.net/anime/5832/Tiger_Mask_Nisei,2773,spring,1981 
Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,TV (12 eps),Oct 2021 - Dec 2021,21427,"Drama, Fantasy, Slice of Life",Saturdays at 01:55 (JST),Sentai Filmworks,148,4330,7.321,https://myanimelist.net/anime/42587/Yuuki_Yuuna_wa_Yuusha_de_Aru__Dai_Mankai_no_Shou,5311,fall,2021 
Zoids Shinseiki/Zero,TV (26 eps),Jan 2001 - Jun 2001,27568,"Adventure, Comedy, Sci-Fi, Sports",Unknown,VIZ Media,144,3857,7.321,https://myanimelist.net/anime/764/Zoids_Shinseiki_Zero,15210,winter,2001 
Hanayamata,TV (12 eps),Jul 2014 - Sep 2014,107360,"Comedy, Slice of Life",Tuesdays at 01:35 (JST),Sentai Filmworks,372,1796,7.321,https://myanimelist.net/anime/21681/Hanayamata,38907,summer,2014 
High Card,TV (12 eps),Jan 2023 -,48774,"Action, Fantasy",Mondays at 20:00 (JST),"None found, add some",197,2857,7.311,https://myanimelist.net/anime/49154/High_Card,5338,winter,2023 
Hitorijime My Hero,TV (12 eps),Jul 2017 - Sep 2017,157091,"Boys Love, Drama, Romance",Sundays at 01:30 (JST),Sentai Filmworks,1323,1337,7.321,https://myanimelist.net/anime/33654/Hitorijime_My_Hero,76563,summer,2017 
Bamboo Blade,TV (26 eps),Oct 2007 - Apr 2008,86483,"Comedy, Sports",Tuesdays at 01:30 (JST),Funimation,283,2062,7.311,https://myanimelist.net/anime/2986/Bamboo_Blade,40084,fall,2007 
Edens Zero,TV (25 eps),Apr 2021 - Oct 2021,220541,"Adventure, Comedy, Fantasy, Sci-Fi",Sundays at 00:55 (JST),"None found, add some",1824,975,7.311,https://myanimelist.net/anime/42192/Edens_Zero,78189,spring,2021 
