,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
80,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie (1 eps),Mar 2021 - Mar 2021,"331,461 members","['Genres: Action, Award Winning, Drama, Sci-Fi, Suspense']",[],"['Licensors: None found, add some']","['Favorites: 6,596']",['Popularity: #638'],"['Score: 8.611 (scored by 130,802 users)']",https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
81,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"642,010 members","['Genres: Drama, Romance, Supernatural']",[],['Licensors: Aniplex of America'],"['Favorites: 9,713']",['Popularity: #284'],"['Score: 8.611 (scored by 406,612 users)']",https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
82,Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"580,930 members","['Genres: Award Winning, Mystery, Sci-Fi, Supernatural']",[],"['Licensors: Funimation, Bandai Entertainment']","['Favorites: 13,030']",['Popularity: #333'],"['Score: 8.611 (scored by 296,270 users)']",https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
83,Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"120,675 members","['Genres: Adventure, Fantasy, Mystery, Slice of Life, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 210'],['Popularity: #1627'],"['Score: 8.601 (scored by 47,458 users)']",https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
84,Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"233,025 members",[],['Broadcast: Sundays at 01:35 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,141']",['Popularity: #922'],"['Score: 8.591 (scored by 128,568 users)']",https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
85,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"923,752 members","['Genres: Action, Adventure, Supernatural']",['Broadcast: Saturdays at 01:05 (JST)'],['Licensors: VIZ Media'],"['Favorites: 29,626']",['Popularity: #154'],"['Score: 8.581 (scored by 613,859 users)']",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
86,Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"415,621 members","['Genres: Action, Mystery, Supernatural']",[],['Licensors: Aniplex of America'],"['Favorites: 2,246']",['Popularity: #488'],"['Score: 8.581 (scored by 251,061 users)']",https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
87,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"238,920 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],"['Licensors: NIS America, Inc.']","['Favorites: 1,347']",['Popularity: #903'],"['Score: 8.581 (scored by 111,694 users)']",https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
88,Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"769,036 members","['Genres: Award Winning, Fantasy, Slice of Life']",[],['Licensors: Funimation'],"['Favorites: 10,946']",['Popularity: #219'],"['Score: 8.581 (scored by 436,016 users)']",https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
89,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"172,594 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Wednesdays at 01:35 (JST)'],"['Licensors: None found, add some']",['Favorites: 790'],['Popularity: #1238'],"['Score: 8.571 (scored by 69,635 users)']",https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
90,Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"276,829 members",[],['Broadcast: Saturdays at 02:25 (JST)'],"['Licensors: None found, add some']","['Favorites: 5,639']",['Popularity: #783'],"['Score: 8.571 (scored by 90,007 users)']",https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
91,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"203,218 members","['Genres: Action, Sci-Fi']",[],['Licensors: Aniplex of America'],['Favorites: 930'],['Popularity: #1058'],"['Score: 8.571 (scored by 95,198 users)']",https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
92,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"418,581 members","['Genres: Award Winning, Comedy, Mystery, Romance']",['Broadcast: Fridays at 00:45 (JST)'],['Licensors: Funimation'],"['Favorites: 17,373']",['Popularity: #483'],"['Score: 8.571 (scored by 135,545 users)']",https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
93,Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"533,797 members","['Genres: Adventure, Fantasy']",['Broadcast: Fridays at 00:55 (JST)'],['Licensors: Funimation'],"['Favorites: 11,405']",['Popularity: #363'],"['Score: 8.561 (scored by 273,182 users)']",https://myanimelist.net/anime/40834/Ousama_Ranking
94,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,054,716 members","['Genres: Action, Fantasy, Supernatural']",['Broadcast: Sundays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 19,897']",['Popularity: #127'],"['Score: 8.561 (scored by 672,225 users)']",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
95,Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"450,040 members","['Genres: Drama, Romance, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],['Licensors: Funimation'],"['Favorites: 5,517']",['Popularity: #443'],"['Score: 8.561 (scored by 225,653 users)']",https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
96,Karakai Jouzu no Takagi-san Movie,Movie (1 eps),Jun 2022 - Jun 2022,"48,721 members",[],[],['Licensors: Sentai Filmworks'],['Favorites: 535'],['Popularity: #2868'],"['Score: 8.561 (scored by 14,669 users)']",https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
97,Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"859,412 members","['Genres: Drama, Romance']",[],['Licensors: Aniplex of America'],"['Favorites: 18,873']",['Popularity: #177'],"['Score: 8.561 (scored by 512,520 users)']",https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
98,Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"728,015 members",[],['Broadcast: Saturdays at 02:25 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 5,812']",['Popularity: #237'],"['Score: 8.551 (scored by 427,013 users)']",https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
99,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"587,082 members","['Genres: Action, Adventure, Drama, Fantasy, Horror']",['Broadcast: Wednesdays at 01:45 (JST)'],"['Licensors: Media Blasters, NYAV Post']","['Favorites: 24,411']",['Popularity: #328'],"['Score: 8.551 (scored by 312,642 users)']",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
100,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"235,680 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Tuesdays at 01:00 (JST)'],"['Licensors: NIS America, Inc.']","['Favorites: 1,393']",['Popularity: #912'],"['Score: 8.551 (scored by 119,071 users)']",https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
101,Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,"852,466 members","['Genres: Avant Garde, Drama, Sci-Fi']",[],"['Licensors: GKIDS, Manga Entertainment']","['Favorites: 26,416']",['Popularity: #178'],"['Score: 8.551 (scored by 568,219 users)']",https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
102,Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"130,909 members","['Genres: Adventure, Fantasy, Mystery, Slice of Life, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 180'],['Popularity: #1526'],"['Score: 8.541 (scored by 63,243 users)']",https://myanimelist.net/anime/21329/Mushishi__Hihamukage
103,Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"274,829 members",[],['Broadcast: Unknown'],"['Licensors: Flatiron Film Company, Geneon Entertainment USA']","['Favorites: 6,667']",['Popularity: #788'],"['Score: 8.541 (scored by 125,609 users)']",https://myanimelist.net/anime/170/Slam_Dunk
104,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"316,720 members","['Genres: Comedy, Drama, Romance']",['Broadcast: Unknown'],"['Licensors: None found, add some']","['Favorites: 2,919']",['Popularity: #670'],"['Score: 8.541 (scored by 186,409 users)']",https://myanimelist.net/anime/12365/Bakuman_3rd_Season
105,Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"227,320 members","['Genres: Action, Drama, Mystery, Romance, Supernatural, Suspense']",[],['Licensors: Aniplex of America'],"['Favorites: 4,452']",['Popularity: #945'],"['Score: 8.531 (scored by 126,130 users)']",https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
106,Nana,TV (47 eps),Apr 2006 - Mar 2007,"599,238 members","['Genres: Drama, Romance']",['Broadcast: Wednesdays at 23:25 (JST)'],"['Licensors: VIZ Media, Sentai Filmworks']","['Favorites: 26,177']",['Popularity: #322'],"['Score: 8.531 (scored by 228,238 users)']",https://myanimelist.net/anime/877/Nana
107,Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"625,526 members","['Genres: Avant Garde, Drama, Horror']",[],"['Licensors: GKIDS, Manga Entertainment']","['Favorites: 16,898']",['Popularity: #298'],"['Score: 8.531 (scored by 333,274 users)']",https://myanimelist.net/anime/437/Perfect_Blue
