,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
173,"['Genres: Drama, Romance, Sci-Fi']",[],"['Licensors: Nozomi Entertainment, Bandai Entertainment']",['Favorites: 1'],['Popularity: #5672'],"['Score: 6.981 (scored by 5,275 users)']"
174,[],[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #10368'],['Score: 6.981 (scored by 593 users)']
175,"['Genres: Action, Comedy, Sci-Fi, Sports']",['Broadcast: Unknown'],['Licensors: Discotek Media'],['Favorites: 4'],['Popularity: #7060'],"['Score: 6.981 (scored by 3,105 users)']"
176,"['Genres: Action, Comedy']",['Broadcast: Wednesdays at 00:58 (JST)'],['Licensors: Geneon Entertainment USA'],['Favorites: 137'],['Popularity: #3330'],"['Score: 6.971 (scored by 15,707 users)']"
177,[],[],"['Licensors: None found, add some']",['Favorites: 3'],['Popularity: #15527'],['Score: 6.971 (scored by 217 users)']
178,[],[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #7835'],"['Score: 6.971 (scored by 2,186 users)']"
179,[],[],"['Licensors: None found, add some']",['Favorites: 18'],['Popularity: #4855'],"['Score: 6.971 (scored by 5,876 users)']"
180,"['Genres: Action, Adventure, Sci-Fi, Sports']",['Broadcast: Mondays at 17:55 (JST)'],['Licensors: ADK Emotions NY'],['Favorites: 113'],['Popularity: #4933'],"['Score: 6.981 (scored by 8,987 users)']"
181,"['Genres: Action, Horror, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 45'],['Popularity: #3447'],"['Score: 6.971 (scored by 23,762 users)']"
182,"['Genres: Action, Horror, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 50'],['Popularity: #4439'],"['Score: 6.971 (scored by 11,515 users)']"
183,"['Genres: Action, Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 149'],['Popularity: #1729'],"['Score: 6.971 (scored by 61,680 users)']"
184,[],[],"['Licensors: None found, add some']",['Favorites: 75'],['Popularity: #3862'],"['Score: 6.971 (scored by 8,751 users)']"
185,"['Genres: Adventure, Comedy, Fantasy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #8280'],"['Score: 6.971 (scored by 2,135 users)']"
186,"['Genres: Comedy, Sci-Fi, Slice of Life']",['Broadcast: Wednesdays at 19:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 47'],['Popularity: #4770'],"['Score: 6.971 (scored by 7,215 users)']"
187,"['Genres: Drama, Romance']",['Broadcast: Tuesdays at 23:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 611'],['Popularity: #1670'],"['Score: 6.971 (scored by 47,034 users)']"
188,"['Genres: Action, Drama, Sci-Fi']",[],['Licensors: Funimation'],['Favorites: 10'],['Popularity: #4209'],"['Score: 6.971 (scored by 9,898 users)']"
189,[],[],"['Licensors: None found, add some']",['Favorites: 3'],['Popularity: #13344'],['Score: 6.971 (scored by 219 users)']
190,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 283'],['Popularity: #2225'],"['Score: 6.971 (scored by 47,050 users)']"
191,[],[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #7158'],"['Score: 6.971 (scored by 2,963 users)']"
192,"['Genres: Action, Drama, Sci-Fi']",['Broadcast: Sundays at 23:25 (JST)'],['Licensors: Bandai Entertainment'],['Favorites: 68'],['Popularity: #6022'],"['Score: 6.961 (scored by 4,270 users)']"
193,"['Genres: Action, Adventure, Comedy, Sci-Fi, Suspense']",[],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #12153'],['Score: 6.971 (scored by 369 users)']
194,"['Genres: Adventure, Comedy, Sci-Fi, Slice of Life']",['Broadcast: Thursdays at 19:00 (JST)'],"['Licensors: Discotek Media, Geneon Entertainment USA']",['Favorites: 115'],['Popularity: #3716'],"['Score: 6.971 (scored by 7,916 users)']"
195,[],[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #11461'],['Score: 6.961 (scored by 655 users)']
196,[],[],"['Licensors: None found, add some']",['Favorites: 52'],['Popularity: #3380'],"['Score: 6.971 (scored by 7,248 users)']"
197,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 26'],['Popularity: #9234'],"['Score: 6.981 (scored by 2,004 users)']"
198,[],[],"['Licensors: None found, add some']",['Favorites: 96'],['Popularity: #2068'],"['Score: 6.971 (scored by 44,051 users)']"
199,"['Genres: Action, Adventure, Fantasy, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #10037'],['Score: 6.971 (scored by 569 users)']
200,"['Genres: Boys Love, Fantasy']",['Broadcast: Fridays at 23:17 (JST)'],['Licensors: Kuma Holdings'],['Favorites: 64'],['Popularity: #3889'],"['Score: 6.971 (scored by 13,397 users)']"
201,"['Genres: Adventure, Fantasy']",['Broadcast: Thursdays at 00:55 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 98'],['Popularity: #3082'],"['Score: 6.971 (scored by 14,342 users)']"
202,"['Genres: Action, Drama, Horror']",[],['Licensors: AnimEigo'],['Favorites: 69'],['Popularity: #4412'],"['Score: 6.971 (scored by 7,802 users)']"
203,"['Genres: Comedy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 10'],['Popularity: #10004'],['Score: 6.961 (scored by 206 users)']
204,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #9896'],['Score: 6.971 (scored by 738 users)']
205,"['Genres: Fantasy, Romance, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 17'],['Popularity: #6673'],"['Score: 6.971 (scored by 2,014 users)']"
206,"['Genres: Action, Comedy']",[],['Licensors: VIZ Media'],['Favorites: 80'],['Popularity: #2585'],"['Score: 6.971 (scored by 24,416 users)']"
207,"['Genres: Action, Adventure, Sci-Fi']",['Broadcast: Unknown'],"['Licensors: Bandai Entertainment, Sentai Filmworks']",['Favorites: 37'],['Popularity: #5404'],"['Score: 6.971 (scored by 3,719 users)']"
208,"['Genres: Comedy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #12931'],['Score: 6.991 (scored by 406 users)']
