,anime name,link_to_anime_page,anime_type,anime_aired,anime_members
125,Uchuu Kyoudai,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,TV (99 eps),Apr 2012 - Mar 2014,"183,714 members"
126,One Punch Man,https://myanimelist.net/anime/30276/One_Punch_Man,TV (12 eps),Oct 2015 - Dec 2015,"2,981,093 members"
127,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,TV (12 eps),Apr 2017 - Jun 2017,"2,491,101 members"
128,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,TV (12 eps),Jul 2016 - Sep 2016,"1,897,808 members"
129,Aria the Origination,https://myanimelist.net/anime/3297/Aria_the_Origination,TV (13 eps),Jan 2008 - Apr 2008,"121,290 members"
130,Banana Fish,https://myanimelist.net/anime/36649/Banana_Fish,TV (24 eps),Jul 2018 - Dec 2018,"783,682 members"
131,Jujutsu Kaisen 0 Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,Movie (1 eps),Dec 2021 - Dec 2021,"635,726 members"
132,Rainbow: Nisha Rokubou no Shichinin,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,TV (26 eps),Apr 2010 - Sep 2010,"374,434 members"
133,Yuru Camp△ Movie,https://myanimelist.net/anime/38475/Yuru_Camp%E2%96%B3_Movie,Movie (1 eps),Jul 2022 - Jul 2022,"59,971 members"
134,Chihayafuru 3,https://myanimelist.net/anime/37379/Chihayafuru_3,TV (24 eps),Oct 2019 - Mar 2020,"128,516 members"
135,Fruits Basket: Prelude,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"82,772 members"
136,Gintama: The Semi-Final,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,Special (2 eps),Jan 2021 - Jan 2021,"65,451 members"
137,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka%E2%98%85Magica_Movie_3__Hangyaku_no_Monogatari,Movie (1 eps),Oct 2013 - Oct 2013,"354,571 members"
138,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"696,790 members"
