,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
219,"['Genres: Drama, Romance']",['Broadcast: Fridays at 00:45 (JST)'],"['Licensors: None found, add some']",['Favorites: 18'],['Popularity: #5146'],"['Score: 6.861 (scored by 3,478 users)']"
220,"['Genres: Comedy, Romance, Supernatural']",[],['Licensors: Funimation'],['Favorites: 10'],['Popularity: #4010'],"['Score: 6.861 (scored by 13,036 users)']"
221,[],['Broadcast: Fridays at 17:55 (JST)'],"['Licensors: None found, add some']",['Favorites: 97'],['Popularity: #4021'],"['Score: 6.861 (scored by 12,739 users)']"
222,"['Genres: Action, Comedy, Sci-Fi']",[],['Licensors: Sentai Filmworks'],['Favorites: 40'],['Popularity: #2621'],"['Score: 6.861 (scored by 28,449 users)']"
223,"['Genres: Action, Comedy, Sci-Fi, Ecchi']",[],['Licensors: Sentai Filmworks'],['Favorites: 58'],['Popularity: #2180'],"['Score: 6.861 (scored by 38,990 users)']"
224,[],[],"['Licensors: None found, add some']",['Favorites: 7'],['Popularity: #5979'],"['Score: 6.861 (scored by 2,135 users)']"
225,"['Genres: Boys Love, Drama, Romance']",[],"['Licensors: None found, add some']",['Favorites: 101'],['Popularity: #5095'],"['Score: 6.861 (scored by 6,584 users)']"
226,"['Genres: Adventure, Sci-Fi']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 11'],['Popularity: #7570'],"['Score: 6.861 (scored by 1,042 users)']"
227,[],['Broadcast: Wednesdays at 01:59 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 1,480']",['Popularity: #675'],"['Score: 6.851 (scored by 156,669 users)']"
228,"['Genres: Action, Drama, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 160'],['Popularity: #2909'],"['Score: 6.851 (scored by 23,079 users)']"
229,"['Genres: Action, Comedy, Mystery']",['Broadcast: Unknown'],"['Licensors: Bandai Entertainment, Maiden Japan']",['Favorites: 27'],['Popularity: #5188'],"['Score: 6.851 (scored by 4,919 users)']"
230,"['Genres: Action, Adventure, Sci-Fi']",[],['Licensors: Sentai Filmworks'],['Favorites: 9'],['Popularity: #7545'],"['Score: 6.851 (scored by 2,326 users)']"
231,"['Genres: Comedy, Fantasy']",[],"['Licensors: ADV Films, Discotek Media']",['Favorites: 83'],['Popularity: #4430'],"['Score: 6.851 (scored by 11,116 users)']"
232,"['Genres: Action, Fantasy, Supernatural']",[],['Licensors: Aniplex of America'],['Favorites: 140'],['Popularity: #2178'],"['Score: 6.851 (scored by 29,828 users)']"
233,"['Genres: Comedy, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 0'],['Popularity: #13033'],['Score: 6.861 (scored by 282 users)']
234,"['Genres: Comedy, Fantasy']",[],['Licensors: Funimation'],['Favorites: 19'],['Popularity: #4211'],"['Score: 6.851 (scored by 6,742 users)']"
235,[],['Broadcast: Mondays at 00:00 (JST)'],['Licensors: Funimation'],['Favorites: 353'],['Popularity: #1377'],"['Score: 6.851 (scored by 71,729 users)']"
236,[],[],['Licensors: Funimation'],['Favorites: 105'],['Popularity: #4518'],"['Score: 6.851 (scored by 6,635 users)']"
237,[],[],"['Licensors: None found, add some']",['Favorites: 24'],['Popularity: #7738'],"['Score: 6.851 (scored by 2,326 users)']"
238,[],[],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #9298'],['Score: 6.851 (scored by 788 users)']
239,"['Genres: Comedy, Drama, Romance, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #10615'],['Score: 6.851 (scored by 392 users)']
240,"['Genres: Comedy, Drama, Romance, Ecchi']",[],['Licensors: VIZ Media'],['Favorites: 58'],['Popularity: #3997'],"['Score: 6.851 (scored by 12,351 users)']"
241,"['Genres: Comedy, Romance, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #3918'],"['Score: 6.851 (scored by 14,636 users)']"
242,"['Genres: Comedy, Fantasy, Romance']",['Broadcast: Tuesdays at 01:35 (JST)'],['Licensors: Discotek Media'],['Favorites: 527'],['Popularity: #842'],"['Score: 6.851 (scored by 121,077 users)']"
243,"['Genres: Action, Adventure, Comedy, Drama']",['Broadcast: Unknown'],"['Licensors: Media Blasters, Geneon Entertainment USA']",['Favorites: 17'],['Popularity: #5728'],"['Score: 6.851 (scored by 4,137 users)']"
244,"['Genres: Action, Comedy']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 4'],['Popularity: #8740'],['Score: 6.851 (scored by 800 users)']
