,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
57,"['Genres: Action, Fantasy, Horror']",[],['Licensors: Funimation'],['Favorites: 368'],['Popularity: #1059'],"['Score: 7.211 (scored by 113,708 users)']"
58,"['Genres: Action, Drama, Fantasy, Horror, Mystery']",['Broadcast: Fridays at 23:00 (JST)'],"['Licensors: ADV Films, Funimation']",['Favorites: 63'],['Popularity: #3347'],"['Score: 7.211 (scored by 13,979 users)']"
59,"['Genres: Comedy, Slice of Life']",['Broadcast: Saturdays at 11:40 (JST)'],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #7996'],"['Score: 7.201 (scored by 1,147 users)']"
60,"['Genres: Comedy, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 41'],['Popularity: #3709'],"['Score: 7.201 (scored by 14,152 users)']"
61,"['Genres: Comedy, Ecchi']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 48'],['Popularity: #3448'],"['Score: 7.201 (scored by 13,735 users)']"
62,"['Genres: Adventure, Fantasy']",[],"['Licensors: Funimation, Discotek Media']",['Favorites: 32'],['Popularity: #5968'],"['Score: 7.201 (scored by 4,904 users)']"
63,"['Genres: Boys Love, Comedy, Romance']",['Broadcast: Thursdays at 01:05 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 1,584']",['Popularity: #873'],"['Score: 7.201 (scored by 138,127 users)']"
64,"['Genres: Comedy, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #11923'],['Score: 7.201 (scored by 380 users)']
65,"['Genres: Action, Adventure, Fantasy, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 11'],['Popularity: #6015'],"['Score: 7.201 (scored by 3,491 users)']"
66,"['Genres: Adventure, Award Winning, Drama']",[],['Licensors: NYAV Post'],['Favorites: 22'],['Popularity: #5026'],"['Score: 7.201 (scored by 5,358 users)']"
67,"['Genres: Comedy, Romance, Slice of Life']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 25'],['Popularity: #9364'],['Score: 7.201 (scored by 803 users)']
68,"['Genres: Action, Supernatural']",[],"['Licensors: None found, add some']","['Favorites: 2,369']",['Popularity: #947'],"['Score: 7.201 (scored by 122,842 users)']"
69,[],[],"['Licensors: None found, add some']",['Favorites: 14'],['Popularity: #5254'],"['Score: 7.201 (scored by 7,053 users)']"
70,"['Genres: Adventure, Comedy, Drama, Sci-Fi']",[],['Licensors: Nozomi Entertainment'],['Favorites: 10'],['Popularity: #6152'],"['Score: 7.201 (scored by 3,905 users)']"
71,"['Genres: Comedy, Fantasy']",[],['Licensors: Funimation'],['Favorites: 799'],['Popularity: #3174'],"['Score: 7.201 (scored by 12,946 users)']"
72,"['Genres: Comedy, Drama, Fantasy, Sci-Fi']",['Broadcast: Wednesdays at 02:00 (JST)'],['Licensors: Funimation'],['Favorites: 32'],['Popularity: #5433'],"['Score: 7.201 (scored by 4,276 users)']"
73,"['Genres: Action, Adventure, Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 15'],['Popularity: #4238'],"['Score: 7.201 (scored by 11,677 users)']"
74,"['Genres: Action, Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 3'],['Popularity: #4983'],"['Score: 7.201 (scored by 6,594 users)']"
75,"['Genres: Adventure, Comedy, Fantasy, Sci-Fi']",['Broadcast: Unknown'],['Licensors: ADV Films'],['Favorites: 205'],['Popularity: #3364'],"['Score: 7.201 (scored by 14,156 users)']"
76,"['Genres: Comedy, Fantasy']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],['Favorites: 875'],['Popularity: #609'],"['Score: 7.201 (scored by 172,644 users)']"
77,"['Genres: Drama, Romance, Sports']",['Broadcast: Wednesdays at 18:00 (JST)'],"['Licensors: ADV Films, Nozomi Entertainment']",['Favorites: 46'],['Popularity: #5510'],"['Score: 7.201 (scored by 3,769 users)']"
78,"['Genres: Action, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 597'],['Popularity: #1556'],"['Score: 7.201 (scored by 56,152 users)']"
79,"['Genres: Action, Comedy']",[],"['Licensors: None found, add some']",['Favorites: 7'],['Popularity: #5520'],"['Score: 7.201 (scored by 3,925 users)']"
80,"['Genres: Adventure, Fantasy, Sci-Fi']",[],['Licensors: Discotek Media'],['Favorites: 27'],['Popularity: #4962'],"['Score: 7.201 (scored by 8,656 users)']"
81,"['Genres: Adventure, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 62'],['Popularity: #4203'],"['Score: 7.201 (scored by 13,527 users)']"
82,[],[],"['Licensors: None found, add some']",['Favorites: 30'],['Popularity: #4718'],"['Score: 7.201 (scored by 5,698 users)']"
83,[],[],['Licensors: Funimation'],['Favorites: 4'],['Popularity: #6685'],"['Score: 7.201 (scored by 2,928 users)']"
84,"['Genres: Action, Award Winning, Drama, Sci-Fi, Suspense']",[],['Licensors: Bandai Entertainment'],['Favorites: 173'],['Popularity: #4668'],"['Score: 7.201 (scored by 6,406 users)']"
85,"['Genres: Action, Horror, Supernatural']",['Broadcast: Unknown'],['Licensors: Funimation'],['Favorites: 236'],['Popularity: #1648'],"['Score: 7.201 (scored by 43,971 users)']"
86,[],[],['Licensors: Funimation'],['Favorites: 163'],['Popularity: #1921'],"['Score: 7.201 (scored by 48,243 users)']"
87,"['Genres: Action, Adventure, Fantasy, Romance']",['Broadcast: Sundays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 66,157']",['Popularity: #5'],"['Score: 7.201 (scored by 2,034,328 users)']"
88,"['Genres: Comedy, Drama, Mystery, Supernatural']",['Broadcast: Unknown'],['Licensors: Manga Entertainment'],['Favorites: 166'],['Popularity: #3207'],"['Score: 7.201 (scored by 13,996 users)']"
89,"['Genres: Action, Comedy']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],['Favorites: 5'],['Popularity: #6025'],"['Score: 7.201 (scored by 3,222 users)']"
90,"['Genres: Comedy, Mystery']",['Broadcast: Unknown'],['Licensors: Funimation'],['Favorites: 68'],['Popularity: #4685'],"['Score: 7.201 (scored by 7,660 users)']"
91,"['Genres: Action, Fantasy']",['Broadcast: Fridays at 22:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 200'],['Popularity: #2518'],"['Score: 7.201 (scored by 16,779 users)']"
92,"['Genres: Drama, Romance, Sci-Fi']",[],"['Licensors: Funimation, Geneon Entertainment USA']",['Favorites: 20'],['Popularity: #4919'],"['Score: 7.201 (scored by 7,700 users)']"
93,"['Genres: Action, Comedy, Sci-Fi']",[],['Licensors: Funimation'],['Favorites: 15'],['Popularity: #5594'],"['Score: 7.201 (scored by 5,213 users)']"
94,[],[],['Licensors: Urban Vision'],['Favorites: 58'],['Popularity: #5278'],"['Score: 7.201 (scored by 5,285 users)']"
95,[],[],"['Licensors: None found, add some']",['Favorites: 32'],['Popularity: #6003'],"['Score: 7.201 (scored by 3,665 users)']"
